categoria;keyword;concordancia_propuesta;intencion_HIPOTESIS;producto_catalogo;landing_propuesta;fase_test;riesgo;volumen_mensual;cpc_estimado;notas
B Automatización + problema;automatizar seguimiento de presupuestos;Frase;Comercial alta, problema concreto;Comercial IA núcleo;/automatizacion-seguimiento-comercial;Fase 1;Volumen probablemente bajo;NO MEDIDO (Keyword Planner);NO MEDIDO (Keyword Planner);Problema frecuente en servicios/reformas/instaladores [HIPÓTESIS]
B Automatización + problema;automatizar presupuestos;Frase;Mixta: software de presupuestos;Comercial IA núcleo (Generador de propuestas);/automatizacion-seguimiento-comercial;Fase 2;Busca programa de presupuestos gratis;NO MEDIDO (Keyword Planner);NO MEDIDO (Keyword Planner);Negativas: gratis, excel, plantilla, programa
B Automatización + problema;automatizar atención al cliente;Frase;Mixta: chatbots SaaS;Soporte IA (Tickets IA);/automatizacion-atencion-clientes;Fase 1;Atrae herramientas de chatbot baratas;NO MEDIDO (Keyword Planner);NO MEDIDO (Keyword Planner);Chat IA Clientes NO VIGENTE: anunciar solo gestión de consultas/tickets
B Automatización + problema;automatizar respuestas a clientes;Frase;Mixta;Soporte IA (Tickets IA);/automatizacion-atencion-clientes;Fase 2;DIY (Gmail, WhatsApp Business respuestas rápidas);NO MEDIDO (Keyword Planner);NO MEDIDO (Keyword Planner);—
B Automatización + problema;automatizar emails de clientes;Frase;Mixta;Soporte IA (Tickets IA);/automatizacion-atencion-clientes;Fase 2;Email marketing (Mailchimp);NO MEDIDO (Keyword Planner);NO MEDIDO (Keyword Planner);Negativa: newsletter, mailchimp
B Automatización + problema;automatizar recordatorios de pago;Frase;Comercial media, problema concreto;Automatización Básica;/automatizacion-cobros;Fase 2;Software de facturación ya lo trae;NO MEDIDO (Keyword Planner);NO MEDIDO (Keyword Planner);Encaje con automatización individual Básica
B Automatización + problema;automatizar reclamación de facturas impagadas;Frase;Comercial media;Automatización Básica;/automatizacion-cobros;Fase 2;Atrae recobro/abogados;NO MEDIDO (Keyword Planner);NO MEDIDO (Keyword Planner);Negativas: abogado, monitorio
B Automatización + problema;automatizar tareas administrativas;Frase;Mixta;Automatización individual;/automatizacion-procesos;Fase 2;Empleo administrativo, cursos;NO MEDIDO (Keyword Planner);NO MEDIDO (Keyword Planner);Negativas de empleo y formación
B Automatización + problema;automatizar gestión de leads;Frase;Comercial media;Comercial IA núcleo;/automatizacion-seguimiento-comercial;Fase 2;Marketers buscando herramienta;NO MEDIDO (Keyword Planner);NO MEDIDO (Keyword Planner);—
B Automatización + problema;no perder llamadas de clientes;Frase;Problema, baja conciencia de solución;Asistente telefónico (fuera de catálogo con precio);—;No (sin precio);Producto sin precio en PRICING OFICIAL;NO MEDIDO (Keyword Planner);NO MEDIDO (Keyword Planner);PRECIO_REQUIERE_CONFIGURACIÓN antes de anunciar
C IA + problema;ia para atención al cliente empresa;Frase;Mixta, mucha curiosidad;Soporte IA;/automatizacion-atencion-clientes;Fase 2;Curiosos, SaaS;NO MEDIDO (Keyword Planner);NO MEDIDO (Keyword Planner);—
C IA + problema;inteligencia artificial para empresas;Frase;Muy amplia, informativa;—;—;No en Fase 1;Informativa, estudiantes, cursos, noticias;NO MEDIDO (Keyword Planner);NO MEDIDO (Keyword Planner);Referencia de volumen solamente
C IA + problema;ia para empresas;Frase;Muy amplia, informativa;—;—;No en Fase 1;Informativa, cursos, herramientas;NO MEDIDO (Keyword Planner);NO MEDIDO (Keyword Planner);Probable CPC alto y baja intención [HIPÓTESIS]
C IA + problema;implantar ia en empresa;Frase;Comercial media (quiere implantar);Departamento;/automatizacion-procesos;Fase 2;Consultoría estratégica grande;NO MEDIDO (Keyword Planner);NO MEDIDO (Keyword Planner);—
C IA + problema;empresa implementación inteligencia artificial;Exacta;Comercial alta (busca proveedor);Departamento;/automatizacion-procesos;Fase 2;Proyectos grandes / data science;NO MEDIDO (Keyword Planner);NO MEDIDO (Keyword Planner);—
C IA + problema;agente ia para empresa;Frase;Mixta, tendencia;Soporte IA / Comercial IA;/automatizacion-procesos;Fase 2;Desarrolladores, tutoriales;NO MEDIDO (Keyword Planner);NO MEDIDO (Keyword Planner);Negativas: crear, tutorial, github, gratis
C IA + problema;asistente ia para empresas;Frase;Mixta;Soporte IA;/automatizacion-atencion-clientes;Fase 2;SaaS tipo Copilot/ChatGPT Team;NO MEDIDO (Keyword Planner);NO MEDIDO (Keyword Planner);—
D Sector;crm para inmobiliarias con ia;Frase;Software + servicio;Comercial IA núcleo;/automatizacion-inmobiliarias;Fase 3;Compite con CRMs verticales baratos;NO MEDIDO (Keyword Planner);NO MEDIDO (Keyword Planner);Solo si hay demo sectorial publicable (permiso Sánchez Rubio)
D Sector;automatización para inmobiliarias;Frase;Comercial media;Comercial IA / Soporte IA;/automatizacion-inmobiliarias;Fase 3;Volumen bajo;NO MEDIDO (Keyword Planner);NO MEDIDO (Keyword Planner);Caso real en curso (Sánchez Rubio) — requiere permiso para usarlo
D Sector;automatización para clínicas;Frase;Comercial media;Soporte IA / Automatización Básica (recordatorios);/automatizacion-clinicas;Fase 3;Software de gestión clínica;NO MEDIDO (Keyword Planner);NO MEDIDO (Keyword Planner);Datos de salud: exige cuidado RGPD extra
D Sector;automatización para talleres;Frase;Comercial media;Automatización Básica;/automatizacion-talleres;Fase 3;Volumen muy bajo;NO MEDIDO (Keyword Planner);NO MEDIDO (Keyword Planner);Referencia Artauto (web con chatbot) — verificar permiso
D Sector;automatización para asesorías;Frase;Comercial media;Soporte IA / Automatización individual;/automatizacion-asesorias;Fase 3;Asesorías venden software a clientes;NO MEDIDO (Keyword Planner);NO MEDIDO (Keyword Planner);Sector con mucho proceso documental [HIPÓTESIS]
D Sector;automatización para franquicias;Frase;Comercial media, multilocal;Departamento;/automatizacion-multilocal;Fase 3;Volumen muy bajo;NO MEDIDO (Keyword Planner);NO MEDIDO (Keyword Planner);Encaja con el giro a multilocal (18/09)
E Resultado deseado;ahorrar tiempo en tareas administrativas;Frase;Informativa-problema;Automatización individual;/automatizacion-procesos;Fase 2;Blogs y listas de trucos;NO MEDIDO (Keyword Planner);NO MEDIDO (Keyword Planner);—
E Resultado deseado;reducir trabajo manual empresa;Frase;Problema;Automatización individual;/automatizacion-procesos;Fase 2;Volumen bajo;NO MEDIDO (Keyword Planner);NO MEDIDO (Keyword Planner);—
E Resultado deseado;centralizar clientes y presupuestos;Frase;Problema/solución;Comercial IA núcleo;/automatizacion-seguimiento-comercial;Fase 2;Software;NO MEDIDO (Keyword Planner);NO MEDIDO (Keyword Planner);—
F Software/procesos;integrar crm con email;Frase;Técnica, DIY;Integraciones;—;No en Fase 1;DIY/tutoriales;NO MEDIDO (Keyword Planner);NO MEDIDO (Keyword Planner);—
F Software/procesos;consultor n8n;Exacta;Comercial alta, técnica;Automatización individual;/automatizacion-procesos;Fase 2;Freelancers/empleo;NO MEDIDO (Keyword Planner);NO MEDIDO (Keyword Planner);"Público técnico; ticket posiblemente menor [HIPÓTESIS]"
F Software/procesos;experto make zapier;Frase;Comercial, técnica;Automatización individual;/automatizacion-procesos;Fase 2;Busca freelance barato;NO MEDIDO (Keyword Planner);NO MEDIDO (Keyword Planner);—
F Software/procesos;crm automatizado;Frase;Software;Comercial IA núcleo;/automatizacion-seguimiento-comercial;Fase 2;Busca SaaS (HubSpot, Pipedrive);NO MEDIDO (Keyword Planner);NO MEDIDO (Keyword Planner);Riesgo alto de lead de software
G Busca proveedor;empresa automatización ia madrid;Exacta;Comercial alta + local;Departamento;/automatizacion-procesos;Fase 1;Volumen bajo;NO MEDIDO (Keyword Planner);NO MEDIDO (Keyword Planner);Alta intención [HIPÓTESIS]
G Busca proveedor;consultora ia pymes;Frase;Comercial alta;Departamento;/automatizacion-procesos;Fase 1;Empleo ('consultora' + trabajo);NO MEDIDO (Keyword Planner);NO MEDIDO (Keyword Planner);—
G Busca proveedor;presupuesto automatización procesos;Frase;Comercial muy alta (pide precio);Automatización individual;/automatizacion-procesos;Fase 1;Busca precio mínimo;NO MEDIDO (Keyword Planner);NO MEDIDO (Keyword Planner);Mostrar rango de precios en landing puede filtrar
G Busca proveedor;cuánto cuesta automatizar procesos;Frase;Comercial alta con sensibilidad a precio;Automatización individual;/automatizacion-procesos;Fase 2;Lead sensible a precio;NO MEDIDO (Keyword Planner);NO MEDIDO (Keyword Planner);Landing con precios publicados = autoselección
G Busca proveedor;d-code partners;Exacta;Marca;—;/;Fase 1 (campaña marca aparte o grupo);Coste casi nulo si hay pocos competidores;NO MEDIDO (Keyword Planner);NO MEDIDO (Keyword Planner);"Proteger marca; medir búsquedas de marca generadas por LinkedIn/visitas"
